Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,A,10,10,Qua,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,306
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,A,10,10,Qui,8:30,2,IGOR PASA WILTUSCHNIG,centro,Eletro,110
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,A,10,10,Sex,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,304
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,B,8,8,Qua,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,306
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,B,8,8,Qui,10:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,110
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,B,8,8,Sex,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,304
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,C,8,8,Qua,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,306
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,C,8,8,Qui,13:30,2,PAULO ROBERTO ECKERT,centro,Eletro,110
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,C,8,8,Sex,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,304
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,D,8,8,Qua,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,306
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,D,8,8,Qui,15:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,110
DELET,2025 - I,ENG04407,CONVERSÃO ELETROMECÂNICA DE ENERGIA I,6,D,8,8,Sex,8:30,2,PAULO ROBERTO ECKERT,centro,Eletro,304
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,A,8,8,Seg,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,A,8,8,Qua,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,110
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,A,8,8,Sex,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,B,8,7,Seg,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,B,8,7,Qua,10:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,110
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,B,8,7,Sex,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,C,8,6,Seg,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,C,8,6,Qua,13:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,110
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,C,8,6,Sex,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,D,8,4,Seg,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,D,8,4,Qua,15:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,110
DELET,2025 - I,ENG04408,CONVERSÃO ELETROMECÂNICA DE ENERGIA II,6,D,8,4,Sex,8:30,2,LUIZ TIARAJU DOS REIS LOUREIRO,centro,Eletro,306
DELET,2025 - I,ENG04063,DISPOSITIVOS SEMICONDUTORES,4,U,10,10,Ter,8:30,2,GILSON INACIO WIRTH,centro,Prédio Branco,034
DELET,2025 - I,ENG04063,DISPOSITIVOS SEMICONDUTORES,4,U,10,10,Qui,8:30,2,GILSON INACIO WIRTH,centro,Prédio Branco,034
